Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP)
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,166187,2011,483000000
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,90000,2015,586500000
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,gold silver,4,72455,2014,565800000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,Gray,4,70000,2015,644000000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,gold silver,4,83000,2014,609500000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,white,4,120000,2013,586500000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,white,4,90000,2015,586500000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,white,4,90000,2014,639400000
TOYOTA ,VIGO_CHAMP_4x4,HP,LEFT,diesel,Crash,Manual,4x4,SUV's,silver,4,61055,2013,598000000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,silver,4,78000,2014,609500000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,95000,2015,655500000
TOYOTA ,VIGO_CHAMP_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,90000,2014,575000000
