,Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
104,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,Crash,automatic,FWD,PPV,Black,4,1000,2023,1276500000,5,12,3,1,1,1,4,0,2,0
105,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,40000,2018,1053400000,5,12,3,1,2,1,4,11,2,0
106,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,PPV,white,4,40000,2020,1099400000,5,12,3,1,3,1,4,11,2,0
107,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,PPV,Gray,4,2000,2023,1127000000,5,12,3,1,3,1,4,3,2,0
108,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,30000,2018,1122400000,5,12,3,1,2,1,4,11,2,0
109,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,Black,4,114000,2016,943000000,5,12,3,1,2,1,4,0,2,0
110,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,Crash,automatic,FWD,PPV,silver,4,51000,2019,1058000000,5,12,3,1,1,1,4,10,2,0
111,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,40000,2019,1122400000,5,12,3,1,2,1,4,11,2,0
112,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,47000,2018,1030400000,5,12,3,1,2,1,4,11,2,0
113,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,84000,2011,547400000,5,12,3,1,2,1,4,11,2,0
114,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,white,4,87129,2017,931500000,5,12,3,1,2,1,4,11,2,0
115,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,gold silver,4,75000,2012,625600000,5,12,3,1,2,1,4,9,2,0
116,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,GOOD,automatic,FWD,PPV,Black,4,38000,2018,1055700000,5,12,3,1,2,1,4,0,2,0
117,TOYOTA ,FORTUNER ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,PPV,white,4,29000,2020,1115500000,5,12,3,1,3,1,4,11,2,0
118,TOYOTA ,GT_86 ,VTE,LEFT,benzine,GOOD,automatic,rwd,coupe,white,4,60000,2014,618700000,5,15,3,0,2,1,5,11,6,0
119,TOYOTA ,GT_86 ,VTE,LEFT,benzine,GOOD,automatic,rwd,coupe,Orange,4,15000,2018,644000000,5,15,3,0,2,1,5,5,6,0
120,TOYOTA ,HIACE ,VTE,LEFT,diesel,GOOD,Manual,rwd,Van,white,4,5122,2020,1069500000,5,17,3,1,2,0,5,11,5,0
121,TOYOTA ,HIACE ,VTE,LEFT,diesel,Crash,Manual,rwd,Van,white,4,120000,2020,1069500000,5,17,3,1,1,0,5,11,5,0
122,TOYOTA ,HIACE ,VTE,LEFT,diesel,Crash,Manual,rwd,Van,white,4,110000,2012,586500000,5,17,3,1,1,0,5,11,5,0
123,TOYOTA ,HIACE ,VTE,LEFT,diesel,Crash,Manual,rwd,Van,white,4,83000,2017,770500000,5,17,3,1,1,0,5,11,5,0
124,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,63000,2014,1748000000,5,21,3,1,2,1,4,11,9,0
125,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,silver,8,65000,2013,1541000000,5,21,3,1,2,1,4,10,9,0
126,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,gold silver,8,73000,2012,1124424000,5,21,3,1,2,1,4,9,9,0
127,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,120000,2011,1368500000,5,21,3,1,2,1,4,11,9,0
128,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,60000,2014,1541000000,5,21,3,1,2,1,4,11,9,0
129,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,60000,2014,1725000000,5,21,3,1,2,1,4,11,9,0
130,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,suv,white,6,1500,2023,3427000000,5,21,3,1,3,1,4,11,9,0
131,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,suv,white,6,38000,2020,2484000000,5,21,3,1,3,1,4,11,9,0
132,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,60000,2014,1725000000,5,21,3,1,2,1,4,11,9,0
133,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,8,83000,2013,1426000000,5,21,3,1,1,1,4,11,9,0
134,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,8,70000,2015,1725000000,5,21,3,1,2,1,4,11,9,0
135,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,8,84000,2017,2173500000,5,21,3,1,1,1,4,11,9,0
136,TOYOTA ,LAND_CRUISER ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,8,67000,2018,2530000000,5,21,3,1,1,1,4,11,9,0
137,TOYOTA ,PRADO  ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,6,61000,2017,1598500000,5,22,3,1,2,1,4,11,9,0
138,TOYOTA ,PRADO  ,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,suv,white,6,32000,2020,1752600000,5,22,3,1,3,1,4,11,9,0
139,TOYOTA ,PRADO  ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,Black,6,85000,2012,1752600000,5,22,3,1,1,1,4,0,9,0
140,TOYOTA ,PRADO  ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,silver,6,69000,2013,1081000000,5,22,3,1,2,1,4,10,9,0
141,TOYOTA ,PRADO  ,VTE,LEFT,diesel,GOOD,Manual,FWD,suv,Black,6,70000,2015,1127000000,5,22,3,1,2,0,4,0,9,0
142,TOYOTA ,PRADO  ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,Black,6,77000,2013,1104000000,5,22,3,1,2,1,4,0,9,0
143,TOYOTA ,PRADO  ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,Black,6,65000,2012,1104000000,5,22,3,1,1,1,4,0,9,0
144,TOYOTA ,PRADO  ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,6,55000,2015,1334000000,5,22,3,1,1,1,4,11,9,0
145,TOYOTA ,PRADO  ,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,white,6,56000,2013,1265000000,5,22,3,1,2,1,4,11,9,0
146,TOYOTA ,PRADO  ,VTE,LEFT,diesel,Crash,Manual,FWD,suv,white,6,68000,2012,954500000,5,22,3,1,1,0,4,11,9,0
147,TOYOTA ,PRADO  ,VTE,LEFT,diesel,Crash,automatic,FWD,No Type,white,6,85000,2012,1076400000,5,22,3,1,1,1,4,11,1,0
148,TOYOTA ,REVO ,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,white,4,36000,2019,685400000,5,24,3,1,2,0,0,11,4,0
